close,high,low,open,time,volumefrom,volumeto
6456.67,6458.69,6456.56,6457.28,1536921660,35.64,230883.0
6459.01,6459.45,6457.37,6457.37,1536921720,32.41,210375.96
6459.42,6460.15,6458.97,6459.01,1536921780,11.0,70913.62
6460.46,6460.46,6459.02,6459.42,1536921840,94.9,618274.75
6457.54,6460.46,6456.89,6460.46,1536921900,90.95,589042.69
6454.99,6458.13,6454.92,6457.54,1536921960,16.88,109088.29
6453.91,6455.21,6453.91,6455.11,1536922020,15.85,102296.31
6450.49,6453.91,6450.45,6453.91,1536922080,66.52,432689.19
6452.04,6452.1,6450.49,6450.49,1536922140,58.35,379896.56
6454.0,6455.03,6452.11,6452.11,1536922200,46.92,304061.14
6453.38,6454.0,6453.26,6454.0,1536922260,29.3,190334.33
6455.03,6455.28,6452.04,6453.25,1536922320,74.09,480328.95
6454.58,6457.29,6454.57,6455.05,1536922380,39.09,254856.86
6455.02,6455.14,6454.62,6454.7,1536922440,31.86,206843.27
6454.47,6454.87,6454.07,6454.12,1536922500,100.04,652161.94
6451.91,6454.53,6451.88,6454.49,1536922560,12.84,82956.67
6451.06,6452.35,6451.06,6451.91,1536922620,35.41,229575.83
6449.8,6451.37,6449.8,6451.06,1536922680,43.68,284099.45
6448.74,6449.84,6448.74,6449.8,1536922740,50.57,328609.91
6450.4,6450.75,6448.68,6448.74,1536922800,66.4,431344.91
6449.51,6450.7,6448.77,6450.49,1536922860,37.26,241677.86
6450.85,6450.85,6449.16,6449.49,1536922920,80.91,524811.32
6453.23,6453.23,6450.85,6450.85,1536922980,28.1,181148.42
6453.55,6453.61,6453.0,6453.23,1536923040,11.98,78919.58
6454.5,6454.5,6453.33,6453.55,1536923100,85.33,555975.34
6453.69,6455.49,6453.69,6454.5,1536923160,63.8,414470.04
6456.33,6456.67,6453.58,6453.69,1536923220,80.7,522916.02
6470.73,6476.83,6457.78,6457.78,1536923280,246.65,1597516.58
6471.77,6473.11,6470.06,6470.73,1536923340,31.5,203878.83
6472.18,6472.18,6470.44,6471.77,1536923400,79.16,512663.45
6474.97,6476.27,6472.37,6472.54,1536923460,108.4,705244.15
6474.56,6475.53,6473.78,6474.97,1536923520,45.15,293480.65
6479.44,6480.9,6474.56,6474.56,1536923580,53.72,349364.73
6477.79,6479.74,6476.86,6479.44,1536923640,36.23,234985.13
6478.62,6478.74,6477.73,6477.79,1536923700,16.86,109662.75
6479.23,6479.24,6478.58,6478.62,1536923760,27.49,178960.98
6479.38,6480.75,6479.17,6479.23,1536923820,32.1,207825.96
6475.19,6479.26,6474.46,6479.17,1536923880,42.56,275368.67
6474.62,6475.33,6474.07,6475.19,1536923940,11.81,76503.44
6473.83,6474.64,6473.82,6474.62,1536924000,16.14,104392.46
6476.26,6476.6,6473.8,6473.83,1536924060,42.72,276891.43
6478.37,6478.42,6476.24,6476.26,1536924120,37.51,242889.27
6479.19,6479.19,6477.58,6478.37,1536924180,35.44,229982.52
6479.74,6479.8,6478.67,6479.2,1536924240,44.99,291364.11
6481.88,6482.23,6479.74,6479.74,1536924300,23.64,153223.08
6482.07,6482.33,6481.56,6481.88,1536924360,25.32,163909.49
6482.34,6482.69,6482.08,6482.12,1536924420,45.98,297470.66
6483.8,6483.8,6482.09,6482.09,1536924480,27.8,179837.8
6482.19,6483.8,6482.13,6483.8,1536924540,22.08,142799.91
6481.31,6482.31,6481.24,6482.19,1536924600,28.25,182741.24
6480.23,6481.35,6479.75,6481.31,1536924660,19.06,123395.94
6476.35,6480.23,6476.31,6480.23,1536924720,29.81,192912.59
6477.24,6478.0,6475.21,6476.35,1536924780,36.94,240627.59
6478.58,6478.99,6477.24,6477.24,1536924840,12.21,78982.53
6476.54,6478.71,6476.37,6478.58,1536924900,65.94,429172.96
6477.21,6477.26,6476.54,6476.54,1536924960,66.68,435127.95
6477.28,6477.29,6477.06,6477.21,1536925020,93.45,610850.13
6473.32,6477.28,6473.32,6477.28,1536925080,110.5,719391.96
6470.81,6473.32,6470.77,6473.32,1536925140,72.39,471621.01
6470.45,6470.89,6470.45,6470.81,1536925200,67.65,441057.54
6470.43,6470.49,6470.31,6470.45,1536925260,69.27,451620.96
6470.32,6470.7,6470.26,6470.43,1536925320,64.71,422195.54
